z,cq,R2_m,R2_se,Epi_m,Epi_se,SR_m,SR_se,SRvar_m,SRvar_se,beta_norm2_m,beta_norm2_se
0.0,0.5,-1.0137125774004727,0.0,-0.012377339057273694,0.0,-0.010268605925224666,0.0,-0.01026401149289742,0.0,1.2521938319335602,0.0
0.0,0.75,-3.525328257890709,0.0,-0.0360394450774494,0.0,-0.016513247109010334,0.0,-0.016507239231216095,0.0,4.077758898870442,0.0
0.0,0.9,-8.315376965610767,0.0,-0.07622323960644056,0.0,-0.023578496054882127,0.0,-0.023573257491991628,0.0,9.887142653955946,0.0
0.0,0.95,-16.743113292701008,0.0,0.05418712382306744,0.0,0.011388780859202006,0.0,0.011383823333989275,0.0,20.467791000944995,0.0
0.0,0.98,-56.3208148978869,0.0,-0.15737120529188164,0.0,-0.01760370652949302,0.0,-0.017597629354874255,0.0,65.35301381272443,0.0
0.0,1.02,-36.67993081998425,0.0,0.03883280553766904,0.0,0.005630303027514264,0.0,0.005627576370531313,0.0,43.380268376977426,0.0
0.0,1.05,-15.486622011421108,0.0,-0.03081360031116161,0.0,-0.006713991912949725,0.0,-0.006710785332370687,0.0,19.615430154631433,0.0
0.0,1.1,-8.87405578110033,0.0,-0.07307574569333676,0.0,-0.021485070569537842,0.0,-0.02147928342681045,0.0,11.220894498017692,0.0
0.0,1.25,-4.117783307356863,0.0,-0.00634391866233149,0.0,-0.002734745724422176,0.0,-0.002733388230843493,0.0,4.979089098719073,0.0
0.0,1.5,-2.3146609639957045,0.0,-0.022880380511337946,0.0,-0.013683747795659288,0.0,-0.013678184855933894,0.0,2.6530625804164063,0.0
0.0,2.0,-1.0911028610337588,0.0,-0.01908631787235985,0.0,-0.016499799449121496,0.0,-0.016493792801684653,0.0,1.2264387727312331,0.0
0.0,3.0,-0.5603307109554154,0.0,-0.020273398583783433,0.0,-0.025037672451408578,0.0,-0.025032998120028467,0.0,0.6187473182643153,0.0
0.0,5.0,-0.2382697139021972,0.0,0.014918090231485779,0.0,0.026018502952411187,0.0,0.026014297289533743,0.0,0.3053087788650173,0.0
0.0,7.0,-0.13288459615831605,0.0,0.025645618912643695,0.0,0.05229699299277339,0.0,0.052342464642299226,0.0,0.2042334790511867,0.0
0.0,10.0,-0.08460124769095878,0.0,0.02138921578898537,0.0,0.05278538569404866,0.0,0.05283264145541558,0.0,0.13439479412010136,0.0
0.001,0.5,-1.0070429494473716,0.0,-0.012605350263597746,0.0,-0.010494388423260606,0.0,-0.010489717560274038,0.0,1.24325993722255,0.0
0.001,0.75,-3.408873882464853,0.0,-0.03605837373317827,0.0,-0.016802875614131386,0.0,-0.016796843424379888,0.0,3.938751901228648,0.0
0.001,0.9,-7.156689164315418,0.0,-0.07676658680811013,0.0,-0.025743693581319258,0.0,-0.02573934914787319,0.0,8.48355091995478,0.0
0.001,0.95,-10.693139624912714,0.0,0.02152698447699253,0.0,0.005754976344541296,0.0,0.005752193393037202,0.0,13.04771984582319,0.0
0.001,0.98,-14.244827222514795,0.0,-0.034178805728598584,0.0,-0.007930656462561553,0.0,-0.0079269394300861,0.0,17.541624317333284,0.0
0.001,1.02,-14.519023247578911,0.0,0.015668039693718185,0.0,0.0036148693761764244,0.0,0.0036130850960791163,0.0,17.465140814093445,0.0
0.001,1.05,-10.619475137031559,0.0,-0.022598961577000774,0.0,-0.006006871135042361,0.0,-0.006003975268438723,0.0,13.580470926515105,0.0
0.001,1.1,-7.601695246715918,0.0,-0.07778646247362044,0.0,-0.02474275749241215,0.0,-0.024737956517146435,0.0,9.576909425781519,0.0
0.001,1.25,-3.977420314561221,0.0,-0.007061857660871023,0.0,-0.0030979342470255906,0.0,-0.0030963997508807843,0.0,4.801884411571979,0.0
0.001,1.5,-2.2838905588462866,0.0,-0.022631980700862947,0.0,-0.013629757331837264,0.0,-0.013624206293719719,0.0,2.617317310835877,0.0
0.001,2.0,-1.087092695319738,0.0,-0.019022907978209852,0.0,-0.016476082576114173,0.0,-0.016470078120403134,0.0,1.22179766248072,0.0
0.001,3.0,-0.5595128169897021,0.0,-0.020247054779446157,0.0,-0.025023912098910868,0.0,-0.02501923171363632,0.0,0.6178280824836295,0.0
0.001,5.0,-0.23812417409746378,0.0,0.014911445989826466,0.0,0.026014620430650313,0.0,0.026010412766260475,0.0,0.30512346585719363,0.0
0.001,7.0,-0.13282739911980812,0.0,0.02564049408132003,0.0,0.05229617742771543,0.0,0.05234164612955667,0.0,0.20415678567601658,0.0
0.001,10.0,-0.08457754654637228,0.0,0.02138637365261912,0.0,0.0527846310240489,0.0,0.05283188399935032,0.0,0.13436330222910897,0.0
0.1,0.5,-0.6359828174775812,0.0,-0.023585730529720482,0.0,-0.025180669426121054,0.0,-0.02517605885075806,0.0,0.7514060317394715,0.0
0.1,0.75,-1.0443669132038234,0.0,-0.04219706402733156,0.0,-0.03631052425145853,0.0,-0.036316313041841096,0.0,1.1488008613170517,0.0
0.1,0.9,-1.2312173818920922,0.0,-0.07610725735639104,0.0,-0.06314970047810464,0.0,-0.0632443492906641,0.0,1.3320777797399812,0.0
0.1,0.95,-1.2608124399597749,0.0,-0.07719905856839353,0.0,-0.06382176837586295,0.0,-0.06392016272638593,0.0,1.3624400957828984,0.0
0.1,0.98,-1.227603466110463,0.0,-0.05821300251124643,0.0,-0.048538108794649204,0.0,-0.048571082881794736,0.0,1.3762987315635784,0.0
0.1,1.02,-1.2642980145962364,0.0,-0.05237369566211513,0.0,-0.04336135561591325,0.0,-0.04338047083893905,0.0,1.4055484436120471,0.0
0.1,1.05,-1.257015483198935,0.0,-0.04916898254251756,0.0,-0.040641048534425246,0.0,-0.04065431106016919,0.0,1.4120924704408755,0.0
0.1,1.1,-1.2288042393151581,0.0,-0.046842121684827785,0.0,-0.03935348053896861,0.0,-0.03936429235744584,0.0,1.4031584317291412,0.0
0.1,1.25,-1.1845321638631008,0.0,-0.012045599635272573,0.0,-0.009867964338490598,0.0,-0.009863509371996336,0.0,1.3711768098941697,0.0
